name,num_years,year,industry,sector,country,headquarters_state,headquarters_city,market_value_mil,market_value_currency,revenue_mil,revenue_currency,profit_mil,profit_currency,asset_mil,asset_currency,employees,employees_metric
Marsh & McLennan,9,2021,Diversified Financials,Financials,USA,NY,New York,62055.0,USD,17224.0,USD,2016.0,USD,33049.0,USD,76000.0,employees
"Marsh & McLennan Companies, Inc.",19,2014,Diversified Financials,,USA,NY,,27034.0,USD,12261.0,USD,1357.0,USD,16980.0,USD,,employees
"Marsh & McLennan Companies, Inc.",19,2013,Diversified Financials,,USA,NY,,2082.17,USD,119.24,USD,1176.0,USD,162.88,USD,,employees
"Marsh & McLennan Companies, Inc.",19,2012,Diversified Financials,,USA,NY,New York,,USD,11526.0,USD,,USD,,USD,,employees
Masco,10,2023,"Home Equipment, Furnishings",Household Products,USA,MI,Livonia,11207.0,USD,8680.0,USD,844.0,USD,5187.0,USD,19000.0,employees
Masco,10,2022,"Home Equipment, Furnishings",Household Products,USA,MI,Livonia,12063.0,USD,8375.0,USD,410.0,USD,5575.0,USD,20000.0,employees
Masco,10,2021,"Home Equipment, Furnishings",Household Products,USA,MI,Livonia,15209.0,USD,7289.0,USD,1224.0,USD,5777.0,USD,18000.0,employees
Masco Corporation,18,2014,"Home Equipment, Furnishings",,USA,MI,,7915.0,USD,8438.0,USD,272.0,USD,6933.0,USD,,employees
Masco Corporation,18,2013,"Home Equipment, Furnishings",,USA,MI,,722.05,USD,78.16,USD,-114.0,USD,68.75,USD,,employees
Masco Corporation,18,2012,"Home Equipment, Furnishings",,USA,MI,Taylor,,USD,7560.0,USD,,USD,,USD,,employees
Massachusetts Mutual Life Insurance,14,2023,"Insurance: Life, Health (Mutual)",Financials,USA,MA,Springfield,,USD,40281.0,USD,1485.0,USD,381336.0,USD,10662.0,employees
Massachusetts Mutual Life Insurance,14,2022,"Insurance: Life, Health (Mutual)",Financials,USA,MA,Springfield,,USD,35900.0,USD,319.0,USD,383292.0,USD,10052.0,employees
Massachusetts Mutual Life Insurance,14,2021,"Insurance: Life, Health (Mutual)",Financials,USA,MA,Springfield,,USD,23663.0,USD,101.0,USD,322936.0,USD,9974.0,employees
"Mattel, Inc.",19,2014,"Toys, Sporting Goods",,USA,CA,,13651.0,USD,6485.0,USD,904.0,USD,6440.0,USD,,employees
"Mattel, Inc.",19,2013,"Toys, Sporting Goods",,USA,CA,,1507.93,USD,642.09,USD,776.5,USD,652.68,USD,,employees
"Mattel, Inc.",19,2012,"Toys, Sporting Goods",,USA,CA,El Segundo,,USD,6266.0,USD,,USD,,USD,,employees
Maytag Corporation,11,2006,"Electronics, Electrical Equipment",,USA,IA,,,USD,4901.1,USD,,USD,,USD,,employees
Maytag Corporation,11,2005,"Electronics, Electrical Equipment",,USA,IA,,,USD,4721.5,USD,,USD,,USD,,employees
Maytag Corporation,11,2004,"Electronics, Electrical Equipment",,USA,IA,,,USD,4791.9,USD,,USD,,USD,,employees
McDonald's,9,2023,Food Services,"Hotels, Restaurants & Leisure",USA,IL,Chicago,204534.0,USD,23183.0,USD,6177.0,USD,50436.0,USD,150000.0,employees
McDonald's,9,2022,Food Services,"Hotels, Restaurants & Leisure",USA,IL,Chicago,183874.0,USD,23223.0,USD,7545.0,USD,53854.0,USD,200000.0,employees
McDonald's,9,2021,Food Services,"Hotels, Restaurants & Leisure",USA,IL,Chicago,167113.0,USD,19208.0,USD,4731.0,USD,52627.0,USD,200000.0,employees
McDonald's Corporation,13,2014,Food Services,,USA,IL,,97038.0,USD,28106.0,USD,5586.0,USD,36626.0,USD,,employees
McDonald's Corporation,13,2013,Food Services,,USA,IL,,9996.83,USD,275.67,USD,5464.8,USD,3538.65,USD,,employees
McDonald's Corporation,13,2012,Food Services,,USA,IL,Oak Brook,,USD,27006.0,USD,,USD,,USD,,employees
McKesson,10,2023,Wholesalers: Health Care,Health Care,USA,TX,Irving,48757.0,USD,263966.0,USD,1114.0,USD,63298.0,USD,66500.0,employees
McKesson,10,2022,Wholesalers: Health Care,Health Care,USA,TX,Irving,45858.0,USD,238228.0,USD,4539.0,USD,65015.0,USD,67500.0,employees
McKesson,10,2021,Wholesalers: Health Care,Health Care,USA,TX,Irving,31044.0,USD,231051.0,USD,900.0,USD,61247.0,USD,70000.0,employees
McKesson Corporation,15,2013,Wholesalers: Health Care,,USA,CA,,25142.7,USD,122734.0,USD,1403.0,USD,33093.0,USD,,employees
McKesson Corporation,15,2012,Wholesalers: Health Care,,USA,CA,San Francisco,,USD,112084.0,USD,,USD,,USD,,employees
McKesson Corporation,15,2011,Wholesalers: Health Care,,USA,CA,San Francisco,,USD,108702.0,USD,,USD,,USD,,employees
MeadWestvaco Corporation,13,2014,"Packaging, Containers",,USA,VA,,6570.0,USD,5543.0,USD,839.0,USD,10285.0,USD,,employees
MeadWestvaco Corporation,13,2013,"Packaging, Containers",,USA,VA,,637.67,USD,55.94,USD,205.0,USD,89.08,USD,,employees
MeadWestvaco Corporation,13,2012,"Packaging, Containers",,USA,VA,Richmond,,USD,6079.0,USD,,USD,,USD,,employees
"Medtronic, Inc.",15,2014,Medical Products and Equipment,,USA,MN,,61590.0,USD,16590.0,USD,3467.0,USD,34841.0,USD,,employees
"Medtronic, Inc.",15,2013,Medical Products and Equipment,,USA,MN,,4760.83,USD,165.07,USD,3617.0,USD,330.83,USD,,employees
"Medtronic, Inc.",15,2012,Medical Products and Equipment,,USA,MN,Minneapolis,,USD,15933.0,USD,,USD,,USD,,employees
"Merck & Co., Inc.",19,2014,Pharmaceuticals,,USA,NJ,,166939.0,USD,44033.0,USD,4404.0,USD,105645.0,USD,,employees
"Merck & Co., Inc.",19,2013,Pharmaceuticals,,USA,NJ,,133588.6,USD,47267.0,USD,6168.0,USD,106132.0,USD,,employees
"Merck & Co., Inc.",19,2012,Pharmaceuticals,,USA,NJ,Whitehouse Station,,USD,48047.0,USD,,USD,,USD,,employees
"Merrill Lynch & Co., Inc.",12,2009,Securities,,USA,NY,New York,,USD,16784.0,USD,,USD,,USD,,employees
"Merrill Lynch & Co., Inc.",12,2008,Securities,,USA,NY,New York,,USD,64217.0,USD,,USD,,USD,,employees
"Merrill Lynch & Co., Inc.",12,2007,Securities,,USA,NY,New York,,USD,70591.0,USD,,USD,,USD,,employees
MetLife,10,2023,"Insurance: Life, Health (Stock)",Financials,USA,NY,New York,44867.0,USD,69898.0,USD,2539.0,USD,666611.0,USD,45000.0,employees
MetLife,10,2022,"Insurance: Life, Health (Stock)",Financials,USA,NY,New York,57987.0,USD,71080.0,USD,6554.0,USD,759708.0,USD,43000.0,employees
MetLife,10,2021,"Insurance: Life, Health (Stock)",Financials,USA,NY,New York,53763.0,USD,67842.0,USD,5407.0,USD,795146.0,USD,46500.0,employees
"MetLife, Inc.",9,2013,"Insurance: Life, Health (Stock)",,USA,NY,,41578.3,USD,68224.0,USD,1324.0,USD,836781.0,USD,,employees
"MetLife, Inc.",9,2012,"Insurance: Life, Health (Stock)",,USA,NY,New York,,USD,70641.0,USD,,USD,,USD,,employees
"MetLife, Inc.",9,2011,"Insurance: Life, Health (Stock)",,USA,NY,New York,,USD,52717.0,USD,,USD,,USD,,employees
"Micron Technology, Inc.",17,2014,Semiconductors and Other Electronic Components,,USA,ID,,25100.0,USD,9073.0,USD,1190.0,USD,19118.0,USD,,employees
